B,n,snr,icc,rho,method,j_count,avg_sd,avg_bias,avg_abs_bias,avg_mse,avg_coverage,min_coverage,max_coverage,avg_mean_Nj,min_min_Nj,avg_n_rep_used
5,1000,0.1,0.2,0.3,naive,4,0.1620447433332891,0.10813350358144878,0.10813350358144878,0.041012315408129385,0.9400000000000001,0.895,0.98,401.64125,168.0,200.0
5,1000,0.1,0.2,0.3,ours,4,0.17326121844185374,-0.009018854433771966,0.010075713259925668,0.0325380903020598,0.9525,0.935,0.98,401.64125,168.0,200.0
5,1000,0.1,0.2,0.6,naive,4,0.15213489917394013,0.12686097064158344,0.12686097064158344,0.042018261894928924,0.9412499999999999,0.915,0.985,400.71,166.0,200.0
5,1000,0.1,0.2,0.6,ours,4,0.14458893213957277,0.017127062070438615,0.017127062070438615,0.02305890256566907,0.9524999999999999,0.94,0.965,400.71,166.0,200.0
5,1000,0.1,0.2,0.8,naive,4,0.1463533704196563,0.10570990105940926,0.10570990105940926,0.035117602580550016,0.95125,0.91,0.99,401.45750000000004,169.0,200.0
5,1000,0.1,0.2,0.8,ours,4,0.1100747738101293,-0.002628652078034654,0.004663050502898626,0.013299302058993654,0.95875,0.95,0.965,401.45750000000004,169.0,200.0
5,1000,0.2,0.2,0.3,naive,4,0.08644955836201669,0.11130106312071872,0.11130106312071872,0.021339382838824358,0.7825,0.685,0.9,401.81375,163.0,200.0
5,1000,0.2,0.2,0.3,ours,4,0.09338925793157349,-9.345650574364882e-05,0.0023930000053513684,0.009167182075240175,0.9225,0.905,0.93,401.81375,163.0,200.0
5,1000,0.2,0.2,0.6,naive,4,0.08349749016885365,0.11269345007053916,0.11269345007053916,0.02146972020507284,0.79375,0.715,0.945,402.74749999999995,164.0,200.0
5,1000,0.2,0.2,0.6,ours,4,0.08026539720530654,-0.0009734093968768288,0.002514728384037304,0.007038126170136667,0.9187500000000001,0.89,0.935,402.74749999999995,164.0,200.0
5,1000,0.2,0.2,0.8,naive,4,0.07357511010277032,0.11565818467794808,0.11565818467794808,0.02054659356127139,0.82125,0.725,0.965,400.6737499999999,161.0,200.0
5,1000,0.2,0.2,0.8,ours,4,0.05983633260943286,0.00047255218632710175,0.0009551300153739248,0.004039228581905075,0.9374999999999999,0.925,0.945,400.6737499999999,161.0,200.0
5,1000,0.3,0.2,0.3,naive,4,0.05752629487154556,0.11441219217724183,0.11441219217724183,0.017829910003925836,0.5650000000000001,0.4,0.825,400.16125,167.0,200.0
5,1000,0.3,0.2,0.3,ours,4,0.05829916607179768,0.0007411739589599719,0.002443147326914906,0.003622744180506314,0.94875,0.93,0.965,400.16125,167.0,200.0
5,1000,0.3,0.2,0.6,naive,4,0.051194442885823525,0.11322393365786085,0.11322393365786085,0.016792162868453732,0.59125,0.455,0.86,399.59499999999997,169.0,200.0
5,1000,0.3,0.2,0.6,ours,4,0.047638353384500495,0.0012101730342426878,0.0013585608937749904,0.002465594433745333,0.96,0.955,0.965,399.59499999999997,169.0,200.0
5,1000,0.3,0.2,0.8,naive,4,0.0488281091207721,0.1141070184945378,0.1141070184945378,0.016692858422280382,0.5562499999999999,0.415,0.865,400.67875000000004,160.0,200.0
5,1000,0.3,0.2,0.8,ours,4,0.0413060301277567,0.00212138883910421,0.00212138883910421,0.0019011315943373009,0.9275,0.925,0.93,400.67875000000004,160.0,200.0
30,1000,0.1,0.2,0.3,naive,29,0.3518445488439836,0.18536828453218815,0.18536828453218815,0.1689467390482716,0.9368965517241379,0.9,1.0,427.6546551724137,118.0,200.0
30,1000,0.1,0.2,0.3,ours,29,0.35318150025876005,-0.013030545171049849,0.017287446351671978,0.13063229517197691,0.9412068965517241,0.905,0.97,427.6546551724137,118.0,200.0
30,1000,0.1,0.2,0.6,naive,29,0.33400583152654684,0.22211334731841187,0.22211334731841187,0.17527038920632193,0.9305172413793104,0.89,1.0,428.78551724137935,114.0,200.0
30,1000,0.1,0.2,0.6,ours,29,0.3524255375852495,0.012408730534804376,0.01784564392742439,0.13405973217362244,0.9396551724137931,0.895,0.97,428.78551724137935,114.0,200.0
30,1000,0.1,0.2,0.8,naive,29,0.3316019145396635,0.1993006841546388,0.1993006841546388,0.16316609675319446,0.9429310344827587,0.895,1.0,427.88258620689646,103.0,200.0
30,1000,0.1,0.2,0.8,ours,29,0.32698150856142805,-0.0016266445834316073,0.01567334381100883,0.1164581449200078,0.9494827586206896,0.92,0.98,427.88258620689646,103.0,200.0
30,1000,0.2,0.2,0.3,naive,29,0.17626942053248912,0.1959251539361949,0.1959251539361949,0.07520275825515506,0.8356896551724139,0.76,0.975,427.446724137931,113.0,200.0
30,1000,0.2,0.2,0.3,ours,29,0.17513912366783074,0.005774175944002141,0.010022894251520692,0.03173343336360274,0.9372413793103448,0.89,0.975,427.446724137931,113.0,200.0
30,1000,0.2,0.2,0.6,naive,29,0.17639243993932033,0.20202380104517315,0.20202380104517315,0.07911247015295289,0.8227586206896551,0.73,0.995,427.9551724137932,116.0,200.0
30,1000,0.2,0.2,0.6,ours,29,0.17707250632484742,0.002841955708048784,0.010583911926129095,0.03357263255572485,0.9386206896551725,0.895,0.97,427.9551724137932,116.0,200.0
30,1000,0.2,0.2,0.8,naive,29,0.1675782631015897,0.1849507254987812,0.1849507254987812,0.06885234135222852,0.8565517241379311,0.755,1.0,428.10155172413795,121.0,200.0
30,1000,0.2,0.2,0.8,ours,29,0.1677321291508456,-0.012162613190213686,0.013220074136646286,0.031574548304914574,0.9398275862068967,0.91,0.965,428.10155172413795,121.0,200.0
30,1000,0.3,0.2,0.3,naive,29,0.11738845226968188,0.2009294324440943,0.2009294324440943,0.0598233804154309,0.6553448275862069,0.52,0.99,426.06982758620677,118.0,200.0
30,1000,0.3,0.2,0.3,ours,29,0.11601243516795605,0.008036584502068527,0.00834827560294096,0.014253152998589196,0.9441379310344828,0.905,0.97,426.06982758620677,118.0,200.0
30,1000,0.3,0.2,0.6,naive,29,0.11618875113800545,0.18423834809245318,0.18423834809245318,0.05294314230942754,0.703103448275862,0.575,1.0,428.4479310344828,112.0,200.0
30,1000,0.3,0.2,0.6,ours,29,0.11906514722138531,-0.009414686722962721,0.009900444376829635,0.015119745130515807,0.9379310344827585,0.905,0.97,428.4479310344828,112.0,200.0
30,1000,0.3,0.2,0.8,naive,29,0.10986821905151177,0.1937097111433562,0.1937097111433562,0.056216652630300276,0.6843103448275862,0.55,1.0,426.93620689655177,118.0,200.0
30,1000,0.3,0.2,0.8,ours,29,0.11112820093273361,0.0028431935047940815,0.005230263710563584,0.013736363433619735,0.9472413793103449,0.92,0.975,426.93620689655177,118.0,200.0
